"id","Age","Citizenship","Status","Lifeboat","Adult.Minor","Sex","Survived","Pasajero","Class"
"162",30,"British","Single","No","Adult","Male","Lost","Crew","Engineering"
"163",32.7167051578137,"British","Single","No","Adult","Male","Lost","Crew","Engineering"
"164",32.7167051578137,"British","Single","No","Adult","Male","Saved","Crew","Engineering"
"165",32.7167051578137,"British","Married","No","Adult","Male","Lost","Crew","Engineering"
"166",22,"British","Single","No","Adult","Male","Lost","Crew","Engineering"
"167",32.7167051578137,"British","Otros","No","Adult","Male","Saved","Crew","Engineering"
"168",45,"British","Single","No","Adult","Male","Lost","Crew","Engineering"
"169",32.7167051578137,"British","Single","No","Adult","Male","Saved","Crew","Engineering"
"170",32.7167051578137,"British","Single","No","Adult","Male","Lost","Crew","Engineering"
"171",32.7167051578137,"British","Single","No","Adult","Male","Lost","Crew","Engineering"
"172",32.7167051578137,"British","Married","No","Adult","Male","Lost","Crew","Engineering"
"173",32.7167051578137,"British","Married","No","Adult","Male","Lost","Crew","Engineering"
"174",30,"British","Married","No","Adult","Male","Lost","Crew","Engineering"
"175",32.7167051578137,"British","Single","No","Adult","Male","Saved","Crew","Engineering"
"176",34,"British","Single","No","Adult","Male","Lost","Crew","Engineering"
"177",36,"British","Married","No","Adult","Male","Lost","Crew","Engineering"
"178",32.7167051578137,"British","Married","No","Adult","Male","Lost","Crew","Engineering"
"179",32.7167051578137,"British","Single","No","Adult","Male","Lost","Crew","Engineering"
"180",32.7167051578137,"British","Married","No","Adult","Male","Lost","Crew","Engineering"
"181",32.7167051578137,"British","Single","No","Adult","Male","Saved","Crew","Engineering"
"182",32.7167051578137,"British","Single","No","Adult","Male","Saved","Crew","Engineering"
"183",32.7167051578137,"British","Single","No","Adult","Male","Lost","Crew","Engineering"
"184",32.7167051578137,"British","Married","No","Adult","Male","Lost","Crew","Engineering"
"185",32.7167051578137,"British","Single","No","Adult","Male","Lost","Crew","Engineering"
"186",30,"British","Married","No","Adult","Male","Lost","Crew","Engineering"
"187",32.7167051578137,"British","Married","No","Adult","Male","Lost","Crew","Engineering"
"188",32.7167051578137,"British","Married","No","Adult","Male","Lost","Crew","Engineering"
"189",32.7167051578137,"British","Single","No","Adult","Male","Lost","Crew","Engineering"
"190",32.7167051578137,"British","Married","No","Adult","Male","Lost","Crew","Engineering"
"191",25,"British","Single","No","Adult","Male","Lost","Crew","Engineering"
"192",25,"British","Married","No","Adult","Male","Lost","Crew","Engineering"
"193",32.7167051578137,"British","Married","No","Adult","Male","Lost","Crew","Engineering"
"194",32.7167051578137,"British","Single","No","Adult","Male","Lost","Crew","Engineering"
"195",32.7167051578137,"British","Single","No","Adult","Male","Lost","Crew","Engineering"
"196",32.7167051578137,"British","Married","No","Adult","Male","Lost","Crew","Engineering"
"197",32.7167051578137,"British","Married","No","Adult","Male","Saved","Crew","Engineering"
"198",32.7167051578137,"British","Single","No","Adult","Male","Lost","Crew","Engineering"
"199",32.7167051578137,"British","Married","No","Adult","Male","Saved","Crew","Engineering"
"200",32.7167051578137,"British","Single","No","Adult","Male","Saved","Crew","Engineering"
"201",32.7167051578137,"British","Single","No","Adult","Male","Saved","Crew","Engineering"
"202",32.7167051578137,"British","Otros","No","Adult","Male","Lost","Crew","Engineering"
"203",31,"British","Married","No","Adult","Male","Lost","Crew","Engineering"
"204",29,"British","Married","No","Adult","Male","Saved","Crew","Engineering"
"205",32.7167051578137,"British","Married","No","Adult","Male","Lost","Crew","Engineering"
"206",32.7167051578137,"British","Single","No","Adult","Male","Lost","Crew","Engineering"
"207",32.7167051578137,"British","Married","No","Adult","Male","Saved","Crew","Engineering"
"208",25,"British","Married","No","Adult","Male","Lost","Crew","Engineering"
"209",25,"British","Married","No","Adult","Male","Lost","Crew","Engineering"
"210",31,"British","Single","No","Adult","Male","Lost","Crew","Engineering"
"211",32.7167051578137,"British","Married","No","Adult","Male","Lost","Crew","Engineering"
"212",32.7167051578137,"British","Single","No","Adult","Male","Lost","Crew","Engineering"
"213",32.7167051578137,"British","Married","No","Adult","Male","Lost","Crew","Engineering"
"214",32.7167051578137,"British","Single","No","Adult","Male","Lost","Crew","Engineering"
"215",32.7167051578137,"British","Otros","No","Adult","Male","Lost","Crew","Engineering"
"216",32.7167051578137,"British","Married","No","Adult","Male","Saved","Crew","Engineering"
"217",32.7167051578137,"British","Single","No","Adult","Male","Lost","Crew","Engineering"
"218",32.7167051578137,"British","Married","No","Adult","Male","Lost","Crew","Engineering"
"219",32.7167051578137,"British","Otros","No","Adult","Male","Saved","Crew","Engineering"
"220",32.7167051578137,"British","Married","No","Adult","Male","Lost","Crew","Engineering"
"221",32.7167051578137,"British","Single","No","Adult","Male","Lost","Crew","Engineering"
"222",32.7167051578137,"British","Otros","No","Adult","Male","Lost","Crew","Engineering"
"223",32.7167051578137,"British","Single","No","Adult","Male","Lost","Crew","Engineering"
"224",32.7167051578137,"British","Single","No","Adult","Male","Saved","Crew","Engineering"
"225",32.7167051578137,"British","Married","No","Adult","Male","Saved","Crew","Engineering"
"226",32.7167051578137,"British","Single","No","Adult","Male","Lost","Crew","Engineering"
"227",32.7167051578137,"British","Single","No","Adult","Male","Lost","Crew","Engineering"
"228",32.7167051578137,"British","Married","No","Adult","Male","Lost","Crew","Engineering"
"229",50,"British","Single","No","Adult","Male","Lost","Crew","Engineering"
"230",32.7167051578137,"British","Married","No","Adult","Male","Lost","Crew","Engineering"
"231",32.7167051578137,"British","Single","No","Adult","Male","Saved","Crew","Engineering"
"232",32.7167051578137,"British","Married","No","Adult","Male","Saved","Crew","Engineering"
"233",32.7167051578137,"British","Married","No","Adult","Male","Lost","Crew","Engineering"
"234",32.7167051578137,"British","Single","No","Adult","Male","Saved","Crew","Engineering"
"235",48,"British","Married","No","Adult","Male","Lost","Crew","Engineering"
"236",32.7167051578137,"British","Single","No","Adult","Male","Saved","Crew","Engineering"
"237",32.7167051578137,"British","Otros","No","Adult","Male","Lost","Crew","Engineering"
"238",19,"British","Married","No","Adult","Male","Lost","Crew","Engineering"
"239",32.7167051578137,"British","Married","No","Adult","Male","Lost","Crew","Engineering"
"240",43,"British","Single","No","Adult","Male","Lost","Crew","Engineering"
"241",32.7167051578137,"British","Married","No","Adult","Male","Saved","Crew","Engineering"
"242",32.7167051578137,"Belgian","Single","No","Adult","Male","Saved","Crew","Engineering"
"243",32.7167051578137,"British","Married","No","Adult","Male","Lost","Crew","Engineering"
"244",32.7167051578137,"British","Married","No","Adult","Male","Lost","Crew","Engineering"
"245",32.7167051578137,"British","Otros","No","Adult","Male","Lost","Crew","Engineering"
"246",32.7167051578137,"British","Married","No","Adult","Male","Saved","Crew","Engineering"
"247",30,"British","Single","No","Adult","Male","Lost","Crew","Engineering"
"248",32.7167051578137,"British","Married","No","Adult","Male","Lost","Crew","Engineering"
"249",32.7167051578137,"British","Single","No","Adult","Male","Saved","Crew","Engineering"
"250",32.7167051578137,"British","Married","No","Adult","Male","Lost","Crew","Engineering"
"251",32.7167051578137,"British","Married","No","Adult","Male","Saved","Crew","Engineering"
"252",32.7167051578137,"British","Married","No","Adult","Male","Lost","Crew","Engineering"
"253",32.7167051578137,"British","Married","No","Adult","Male","Lost","Crew","Engineering"
"254",52,"British","Single","No","Adult","Male","Lost","Crew","Engineering"
"255",32.7167051578137,"British","Married","No","Adult","Male","Lost","Crew","Engineering"
"256",32.7167051578137,"British","Married","No","Adult","Male","Lost","Crew","Engineering"
"257",32.7167051578137,"British","Single","No","Adult","Male","Lost","Crew","Engineering"
"258",22,"British","Single","No","Adult","Male","Lost","Crew","Engineering"
"259",30,"British","Single","No","Adult","Male","Lost","Crew","Engineering"
"260",32.7167051578137,"British","Married","No","Adult","Male","Saved","Crew","Engineering"
"261",32.7167051578137,"British","Married","No","Adult","Male","Lost","Crew","Engineering"
"262",32.7167051578137,"British","Single","No","Adult","Male","Lost","Crew","Engineering"
"263",44,"British","Married","No","Adult","Male","Lost","Crew","Engineering"
"264",32.7167051578137,"British","Single","No","Adult","Male","Lost","Crew","Engineering"
"265",32.7167051578137,"British","Married","No","Adult","Male","Saved","Crew","Engineering"
"266",32.7167051578137,"British","Married","No","Adult","Male","Lost","Crew","Engineering"
"267",32.7167051578137,"British","Married","No","Adult","Male","Lost","Crew","Engineering"
"268",32.7167051578137,"British","Single","No","Adult","Male","Lost","Crew","Engineering"
"269",32.7167051578137,"British","Single","No","Adult","Male","Saved","Crew","Engineering"
