"","car_name","brand","model","kilometers_driven","transmision","fuel","color","engine_capacity","Precio"
"1661","New Toyota Hilux 2023","toyota",2023,"0 KM","Manual","Diesel","White","2400",995000
"1662","Used Toyota Corolla 2010","toyota",2010,"300,000 KM","Automatic","Petrol","Gray","N/A",190000
"1663","Used Mercedes-Benz E-Class E 200 CGI 2015","mercedes-benz",2015,"36,000 KM","Manual","Petrol","Silver","1800",2600000
"1664","Used Mercedes-Benz GLC 250 2011","mercedes-benz",2011,"200,000 KM","Automatic","Petrol","Maroon","1800",1250000
"1665","Used Mercedes-Benz CLC 180 2014","mercedes-benz",2014,"81,000 KM","Automatic","Petrol","Turqoise","1600",900000
"1666","New Toyota Hilux 2023","mercedes-benz",2023,"0 KM","Manual","Diesel","White","2400",995000
"1667","Used Mercedes-Benz CLC 180 2014","mercedes-benz",2014,"59,000 KM","Automatic","Petrol","Black","N/A",1570000
"1668","Used Mercedes-Benz CLC 180 2002","mercedes-benz",2002,"140,999 KM","Automatic","Petrol","Silver","1799",550000
"1669","Used Mercedes-Benz GLA 2.0 I-4 2020","mercedes-benz",2020,"20,000 KM","Automatic","Petrol","Red","1600",2550000
"1670","Used Mercedes-Benz GLC-Class 2021","mercedes-benz",2021,"8,300 KM","Automatic","Petrol","White","2000",3500000
"1671","Used Mercedes-Benz GLC Coupe 200 4MATIC 2022","mercedes-benz",2022,"17,000 KM","Automatic","Petrol","Black","1991",3700000
"1672","Used Mercedes-Benz CLC 180 2014","mercedes-benz",2014,"97,000 KM","Automatic","Petrol","White","N/A",1550000
"1673","Used Mercedes-Benz CLC 180 2019","mercedes-benz",2019,"30,000 KM","Automatic","Petrol","Black","1599",2600000
"1674","New Mercedes-Benz C-Class C 200 2023","mercedes-benz",2023,"0 KM","Automatic","Petrol","Black","1800",4000000
"1675","Used Mercedes-Benz B Class B200 2013","mercedes-benz",2013,"67,000 KM","Automatic","Petrol","Teal","1600",1050000
"1676","Used Mercedes-Benz 250 SE 2011","mercedes-benz",2011,"200,000 KM","N/A","N/A","Maroon","1800",1200000
"1677","Used Mercedes-Benz CLA-Class CLA 200 2014","mercedes-benz",2014,"160,000 KM","Automatic","Petrol","Red","1600",1500000
"1678","Used Mercedes-Benz C-Class C 200 2022","mercedes-benz",2022,"4,000 KM","Manual","Petrol","Black","1800",3100000
"1679","New Toyota Hilux 2023","mercedes-benz",2023,"0 KM","Manual","Diesel","White","2400",995000
"1680","Used Mercedes-Benz CLA-Class CLA 180 2015","mercedes-benz",2015,"39,000 KM","Automatic","Petrol","Silver","1600",1500000
"1681","Used Mercedes-Benz CLA-Class CLA 180 2015","mercedes-benz",2015,"180,000 KM","Automatic","Petrol","Black","1600",1350000
"1682","New Mercedes-Benz CLC 180 2022","mercedes-benz",2022,"0 KM","Automatic","Petrol","Black","N/A",3220000
"1683","Used Mercedes-Benz C-Class Coupe C 200 2023","mercedes-benz",2023,"2,000 KM","Automatic","Petrol","Black","N/A",3900000
"1684","New Mercedes-Benz C-Class C 180 2023","mercedes-benz",2023,"0 KM","Automatic","Petrol","Black","1500",3300000
"1685","Used Mercedes-Benz C-Class C 180 2019","mercedes-benz",2019,"70,000 KM","Manual","Petrol","White","1800",2350000
"1686","Used Mercedes-Benz S-Class S 500 L 2015","mercedes-benz",2015,"120,000 KM","Automatic","Petrol","Black","5500",3650000
"1687","Used Mercedes-Benz C-Class C 180 2013","mercedes-benz",2013,"180,000 KM","Automatic","Petrol","Black","1600",1100000
"1688","Used Mercedes-Benz E-Class E 200 AMG 2023","mercedes-benz",2023,"80 KM","Automatic","Petrol","Gray","0",4700000
"1689","Used Mercedes-Benz CLC 180 2018","mercedes-benz",2018,"120,000 KM","Automatic","Petrol","Black","1600",2500000
"1690","Used Mercedes-Benz CLC 180 2018","mercedes-benz",2018,"122,000 KM","Automatic","Petrol","White","N/A",2250000
"1691","Used Mercedes-Benz CLC 180 2013","mercedes-benz",2013,"180,000 KM","Automatic","Petrol","Black","1600",1000000
"1692","New Toyota Hilux 2023","mercedes-benz",2023,"0 KM","Manual","Diesel","White","2400",995000
"1693","New Mercedes-Benz GLE-Class 2023","mercedes-benz",2023,"0 KM","Automatic","N/A","White","3000",6500000
"1694","New Mercedes-Benz GLC-Class GLC 300 2023","mercedes-benz",2023,"0 KM","Automatic","Petrol","Black","200",5250000
"1695","Used Mercedes-Benz S-Class S 500 L 2021","mercedes-benz",2021,"28,000 KM","Automatic","Petrol","Black","4000",7000000
"1696","New Mercedes-Benz E-Class E 200 AMG 2022","mercedes-benz",2022,"0 KM","Automatic","Petrol","Black","0",4600000
"1697","Used Mercedes-Benz GLK-Class GLK 300 4MATIC 2013","mercedes-benz",2013,"290,000 KM","Automatic","Diesel","Black","3000",1200000
"1698","Used Mercedes-Benz GLC-Class GLC 250 2022","mercedes-benz",2022,"17,000 KM","Automatic","Petrol","Black","2000",3900000
"1699","Used Mercedes-Benz E-Class 2019","mercedes-benz",2019,"68,000 KM","Automatic","Petrol","Black","1600",2750000
"1700","Used Mercedes-Benz C-Class Coupe 2019","mercedes-benz",2019,"75,000 KM","Automatic","Petrol","Silver","1600",2250000
"1701","Used Mercedes-Benz C Class Cabriolet 2018","mercedes-benz",2018,"37,000 KM","Automatic","Petrol","White","1600",2450000
"1702","Used Mercedes-Benz E 280 2007","mercedes-benz",2007,"201,000 KM","Automatic","Petrol","Silver","3000",830000
"1703","Used Mercedes-Benz GLA 2.0 I-4 2021","mercedes-benz",2021,"60,000 KM","Automatic","Petrol","Red","1400",1950000
"1704","Used Mercedes-Benz GLA 2021","mercedes-benz",2021,"60,000 KM","Automatic","Petrol","White","1300",2350000
"1705","New Toyota Hilux 2023","mercedes-benz",2023,"0 KM","Manual","Diesel","White","2400",995000
"1706","Used Mercedes-Benz V Class Standard 2018","mercedes-benz",2018,"84,000 KM","Automatic","Petrol","Black","1600",2750000
"1707","Used Mercedes-Benz C-Class C 180 2010","mercedes-benz",2010,"120,000 KM","Automatic","Petrol","White","1800",700000
"1708","Used Mercedes-Benz E-Class 2018","mercedes-benz",2018,"115,000 KM","N/A","N/A","White","N/A",2500000
"1709","Used Mercedes-Benz E 280 E 280 2007","mercedes-benz",2007,"166,000 KM","Automatic","Petrol","Silver","3000",750000
"1710","Used Mercedes-Benz A-Class A 200 2020","mercedes-benz",2020,"25,000 KM","Automatic","Petrol","Silver","1300",1400000
"1711","Used Mercedes-Benz E-Class Saloon E 200 2021","mercedes-benz",2021,"17,000 KM","Automatic","Petrol","Black","1991",2500000
"1712","Used Mercedes-Benz A-class Sedan 2014","mercedes-benz",2014,"160,000 KM","N/A","N/A","Red","N/A",650000
"1713","Used Mercedes-Benz 280 SL 1982","mercedes-benz",1982,"300,000 KM","Automatic","Petrol","Black","2800",85000
"1714","Used Mercedes-Benz C-Class C 180 2017","mercedes-benz",2017,"76,800 KM","Automatic","Petrol","Gray","1595",980000
"1715","Used Mercedes-Benz E-Class 2019","mercedes-benz",2019,"32,000 KM","Automatic","Petrol","Black","2000",2600000
"1716","Used Mercedes-Benz C Class Cabriolet 2019","mercedes-benz",2019,"92,000 KM","Automatic","Petrol","Blue","1600",1550000
"1717","Used Mercedes-Benz 250 SE 2015","mercedes-benz",2015,"97,000 KM","Automatic","Petrol","Black","2000",1650000
"1718","New Toyota Hilux 2023","mercedes-benz",2023,"0 KM","Manual","Diesel","White","2400",995000
"1719","Used Mercedes-Benz B Class 2006","mercedes-benz",2006,"183,000 KM","Automatic","Petrol","Black","1495",280000
"1720","Used Mercedes-Benz A-Class 1998","mercedes-benz",1998,"300,000 KM","Manual","Petrol","Maroon","1600",95000
"1721","Used Mercedes-Benz C Class Cabriolet 2019","mercedes-benz",2019,"73,000 KM","Automatic","N/A","Black","N/A",1780000
"1722","Used Mercedes-Benz GLA 2015","mercedes-benz",2015,"107,000 KM","Automatic","Petrol","Black","1600",900000
"1723","New Mercedes-Benz E-Class 2023","mercedes-benz",2023,"0 KM","Automatic","Petrol","Black","N/A",3600000
"1724","Used Mercedes-Benz E-Class Saloon E200 2003","mercedes-benz",2003,"176,500 KM","Automatic","Petrol","Other","1800",365000
"1725","Used Mercedes-Benz GLC Coupe 300 4MATIC 2020","mercedes-benz",2020,"40,600 KM","Automatic","Petrol","Black","2000",2270000
"1726","New Mercedes-Benz G-Class 2022","mercedes-benz",2022,"2 KM","Automatic","Petrol","White","4000",4800000
"1727","Used Mercedes-Benz E-Class 2020","mercedes-benz",2020,"240,000 KM","Automatic","Hybrid","Blue","2000",2395000
"1728","Used Mercedes-Benz CLC 180 2013","mercedes-benz",2013,"155,000 KM","Automatic","Petrol","Gray","N/A",700000
"1729","Used Mercedes-Benz E 280 1988","mercedes-benz",1988,"250,000 KM","Automatic","Petrol","White","2000",165000
"1730","Used Mercedes-Benz 280 SL 1982","mercedes-benz",1982,"185,000 KM","Automatic","Petrol","Black","2800",75000
"1731","New Toyota Hilux 2023","mercedes-benz",2023,"0 KM","Manual","Diesel","White","2400",995000
"1732","Used Mercedes-Benz B Class 2007","mercedes-benz",2007,"200,000 KM","Automatic","Petrol","Black","1500",245000
"1733","Used Mercedes-Benz E-Class Saloon E 250 2010","mercedes-benz",2010,"210,000 KM","Automatic","Petrol","Silver","1800",700000
"1734","Used Mercedes-Benz E-Class Saloon 2015","mercedes-benz",2015,"149,000 KM","Automatic","Petrol","Silver","2000",1180000
"1735","Used Mercedes-Benz C-Class C 180 2013","mercedes-benz",2013,"130,000 KM","Automatic","Petrol","Brown","1800",750000
"1736","Used Mercedes-Benz E-Class Saloon E 200 1978","mercedes-benz",1978,"100,000 KM","Manual","Petrol","White","1800",40000
"1737","Used Mercedes-Benz E-Class E 200 CGI 1979","mercedes-benz",1979,"999,999 KM","Manual","Petrol","Red","1800",65000
"1738","Used Mercedes-Benz CLA-Class CLA 200 2020","mercedes-benz",2020,"60,000 KM","Automatic","Petrol","White","1500",1250000
"1739","Used Mercedes-Benz C-Class C 180 2000","mercedes-benz",2000,"303,000 KM","Automatic","Petrol","Black","1800",175000
"1740","Used Mercedes-Benz CLC 180 2002","mercedes-benz",2002,"160,000 KM","Automatic","Petrol","Gold","3200",205000
"1741","Used Mercedes-Benz 300SE 2010","mercedes-benz",2010,"195,000 KM","Automatic","N/A","Black","N/A",645000
"1742","Used Mercedes-Benz 300/350/380 2018","mercedes-benz",2018,"50,000 KM","Automatic","Hybrid","Black","1991",3400000
"1743","Used Mercedes-Benz GLC 250 2012","mercedes-benz",2012,"227,000 KM","Automatic","Petrol","Black","1800",535000
"1744","New Toyota Hilux 2023","mercedes-benz",2023,"0 KM","Manual","Diesel","White","2400",995000
"1745","Used Mercedes-Benz CLC 200 1977","mercedes-benz",1977,"40,000 KM","Manual","Petrol","White","2000",35000
"1746","Used Mercedes-Benz CLA-Class 2016","mercedes-benz",2016,"119,000 KM","Automatic","Petrol","White","1600",570000
"1747","Used Mercedes-Benz SEL 500 2008","mercedes-benz",2008,"167,000 KM","Automatic","Petrol","Black","N/A",595000
"1748","Used Mercedes-Benz C-Class C 250 2010","mercedes-benz",2010,"111,000 KM","Automatic","Petrol","Black","1800",400000
"1749","Used Mercedes-Benz C-Class C 180 2019","mercedes-benz",2019,"64,000 KM","Automatic","Petrol","Black","1600",850000
"1750","Used Mercedes-Benz E-Class E 200 AMG 2004","mercedes-benz",2004,"90,000 KM","Automatic","Petrol","Other","1800",230000
"1751","Used Mercedes-Benz E 280 E 280 2008","mercedes-benz",2008,"50,000 KM","Automatic","Petrol","Black","3000",659995
"1752","Used Mercedes-Benz C-Class C180 2011","mercedes-benz",2011,"142,000 KM","Automatic","Petrol","White","1800",400000
"1753","Used Mercedes-Benz E 280 E 280 2008","mercedes-benz",2008,"50,000 KM","Automatic","Petrol","Black","3000",660000
"1754","Used Mercedes-Benz B Class 2013","mercedes-benz",2013,"93,000 KM","N/A","Petrol","Silver","1600",325000
"1755","Used Mercedes-Benz E-Class Saloon 2014","mercedes-benz",2014,"94,000 KM","N/A","Petrol","Black","2000",750000
"1756","Used Mercedes-Benz V Class 2005","mercedes-benz",2005,"240,000 KM","Automatic","Diesel","Blue","1500",180000
"1757","New Toyota Hilux 2023","mercedes-benz",2023,"0 KM","Manual","Diesel","White","2400",995000
"1758","Used Mercedes-Benz CLA-Class 2015","mercedes-benz",2015,"150,000 KM","Automatic","Petrol","Black","N/A",400000
"1759","Used Mercedes-Benz C-Class 2014","mercedes-benz",2014,"115,000 KM","Automatic","Petrol","Gray","1800",525000
"1760","Used Mercedes-Benz CLC 180 2021","mercedes-benz",2021,"3,000 KM","Automatic","Petrol","Black","1500",920000
"1761","Used Mercedes-Benz C-Class C 180 2012","mercedes-benz",2012,"89,000 KM","Automatic","Petrol","Black","1800",470000
"1762","Used Mercedes-Benz 280 1984","mercedes-benz",1984,"200,000 KM","Manual","Petrol","Green","N/A",65000
"1763","Used Mercedes-Benz 280 SL 1984","mercedes-benz",1984,"200 KM","Manual","N/A","Green","0",65000
"1764","Used Mercedes-Benz B Class 2010","mercedes-benz",2010,"6,000 KM","Automatic","Petrol","Black","1500",300000
"1765","Used Mercedes-Benz 280 2017","mercedes-benz",2017,"24,000 KM","Automatic","Petrol","Black","2000",1300000
"1766","Used Mercedes-Benz C-Class C 180 2013","mercedes-benz",2013,"130,000 KM","Automatic","Petrol","Brown","1600",460000
"1767","Used Mercedes-Benz 300/350/380 2018","mercedes-benz",2018,"44,000 KM","Automatic","Hybrid","Gray","N/A",900000
"1768","Used Mercedes-Benz B Class 2008","mercedes-benz",2008,"127,000 KM","Automatic","Petrol","Red","N/A",175000
"1769","Used Mercedes-Benz C-Class 2019","mercedes-benz",2019,"23,000 KM","CVT","Petrol","Black","1500",910000
"1770","New Toyota Hilux 2023","mercedes-benz",2023,"0 KM","Manual","Diesel","White","2400",995000
"1771","Used Mercedes-Benz C-Class C 200 2009","mercedes-benz",2009,"190,000 KM","Automatic","Petrol","Silver","1800",325000
"1772","New Mercedes-Benz E-Class 2021","mercedes-benz",2021,"18 KM","Automatic","Petrol","Silver","2000",1650000
"1773","Used Mercedes-Benz 300 2020","mercedes-benz",2020,"21,000 KM","Automatic","Petrol","White","2000",1400000
"1774","Used Mercedes-Benz E 280 E 280 2000","mercedes-benz",2000,"180,000 KM","Automatic","Petrol","Silver","3000",220000
"1775","Used Mercedes-Benz C-Class C 180 2011","mercedes-benz",2011,"129,000 KM","Automatic","Petrol","Gray","1600",370000
"1776","Used Mercedes-Benz S 280 S 280 1997","mercedes-benz",1997,"180,000 KM","Automatic","Petrol","Blue","2800",180000
"1777","Used Mercedes-Benz S-Class 2000","mercedes-benz",2000,"145,000 KM","Automatic","Petrol","Black","3200",275000
"1778","New Mercedes-Benz E-Class 2021","mercedes-benz",2021,"0 KM","Automatic","Petrol","Black","N/A",1560000
"1779","Used Mercedes-Benz C-Class C 180 2000","mercedes-benz",2000,"218,000 KM","Automatic","Petrol","Silver","1800",170000
"1780","Used Mercedes-Benz CLC 180 2011","mercedes-benz",2011,"230,000 KM","Automatic","Petrol","Gray","N/A",330000
"1781","Used Mercedes-Benz GLC-Class 2020","mercedes-benz",2020,"10,000 KM","N/A","N/A","White","N/A",1090000
"1782","New Mercedes-Benz CLA-Class 2020","mercedes-benz",2020,"0 KM","Automatic","Petrol","Blue","1800",890000
"1783","New Toyota Hilux 2023","mercedes-benz",2023,"0 KM","Manual","Diesel","White","2400",995000
"1784","Used Mercedes-Benz B Class 2006","mercedes-benz",2006,"166,000 KM","Automatic","Petrol","Gray","1500",175000
"1785","Used Mercedes-Benz C-Class 2015","mercedes-benz",2015,"86,000 KM","Automatic","Petrol","Black","1600",600000
"1786","Used Mercedes-Benz S-Class S 500 2009","mercedes-benz",2009,"210,000 KM","Automatic","Petrol","White","5461",820000
"1787","Used Mercedes-Benz B Class 2007","mercedes-benz",2007,"165 KM","N/A","N/A","Silver","N/A",200000
"1788","Used Mercedes-Benz C-Class C 300 2020","mercedes-benz",2020,"15 KM","Automatic","Petrol","White","1991",1100000
"1789","Used Mercedes-Benz S-Class S 500 2007","mercedes-benz",2007,"248,000 KM","Automatic","Petrol","Black","5500",540000
"1790","Used Mercedes-Benz S-Class S 500 e 2019","mercedes-benz",2019,"40,000 KM","Automatic","Hybrid","Black","2996",3250000
"1791","Used Mercedes-Benz E 280 E 280 1982","mercedes-benz",1982,"93,000 KM","Manual","Petrol","Black","2300",55000
"1792","Used Mercedes-Benz C-Class C 180 2013","mercedes-benz",2013,"80,000 KM","Automatic","Petrol","Silver","1600",475000
"1793","Used Mercedes-Benz C-Class C 180 2011","mercedes-benz",2011,"97,000 KM","Automatic","Petrol","Black","2000",355000
"1794","Used Mercedes-Benz B Class 2013","mercedes-benz",2013,"81,000 KM","Automatic","Petrol","Gray","1600",350000
"1795","Used Mercedes-Benz C-Class C 180 2010","mercedes-benz",2010,"125,000 KM","Automatic","Petrol","Silver","1800",360000
"1796","New Toyota Hilux 2023","mercedes-benz",2023,"0 KM","Manual","Diesel","White","2400",995000
"1797","Used Mercedes-Benz A-Class A 200 2014","mercedes-benz",2014,"95,500 KM","Automatic","Petrol","White","1600",450000
"1798","Used Mercedes-Benz S-Clas S 350 2009","mercedes-benz",2009,"80,000 KM","Automatic","Petrol","Black","3500",950000
"1799","Used Mercedes-Benz E-Class 2020","mercedes-benz",2020,"7,000 KM","N/A","N/A","Silver","N/A",1450000
"1800","Used Mercedes-Benz E-Class 2019","mercedes-benz",2019,"9,000 KM","Automatic","N/A","Black","1599",1050000
"1801","Used Fiat Tipo Sedan 1.6L Full Option 2022","fiat",2022,"35,000 KM","Automatic","Petrol","White","1600",830000
"1802","Used Fiat Tipo Sedan 1.6L Standard 2022","fiat",2022,"33,000 KM","Automatic","Petrol","Green","1600",780000
"1803","Used Fiat Tipo Sedan 1.6L Full Option 2021","fiat",2021,"45,000 KM","Automatic","Petrol","Silver","1600",710000
"1804","New Toyota Hilux 2023","fiat",2023,"0 KM","Manual","Diesel","White","2400",995000
"1805","Used Fiat Tipo Sedan 1.6L Full Option 2022","fiat",2022,"35,000 KM","Automatic","Petrol","Red","1600",850000
"1806","Used Fiat Tipo Sedan 1.4L Highline 2021","fiat",2021,"30,000 KM","Manual","Petrol","Silver","1400",680000
"1807","Used Fiat Doblo 1.4L Standard 2021","fiat",2021,"123,000 KM","Manual","Petrol","White","1400",360000
"1808","Used Fiat Tipo Sedan 1.6L Standard 2022","fiat",2022,"22,000 KM","Automatic","Petrol","Tan","1600",775000
"1809","Used Fiat Tipo Sedan 1.6L 2022","fiat",2022,"21,000 KM","Automatic","Petrol","Gray","1600",760000
"1810","Used Fiat Tipo Sedan 1.4L Full Option 2022","fiat",2022,"62,000 KM","Automatic","Petrol","White","1400",850000
"1811","Used Fiat Punto Evo Punto Evo 2012","fiat",2012,"110,000 KM","Automatic","Petrol","Burgundy","1400",350000
"1812","Used Fiat Tipo Sedan 1.6L 2021","fiat",2021,"45,000 KM","Automatic","Petrol","Blue","1600",750000
"1813","Used Fiat Punto 1.3L Punto 1.3L 1989","fiat",1989,"180,000 KM","Manual","Petrol","Red","1300",28000
"1814","Used Fiat Tipo Sedan 1.6L 2020","fiat",2020,"300,000 KM","Manual","Petrol","Silver","1400",450000
"1815","Used Fiat Tipo Sedan 1.6L Standard 2021","fiat",2021,"62,000 KM","Automatic","Petrol","Gray","1600",725000
"1816","Used Fiat Tipo Sedan 1972","fiat",1972,"100,000 KM","Manual","Petrol","Blue","1100",17000
"1817","New Toyota Hilux 2023","fiat",2023,"0 KM","Manual","Diesel","White","2400",995000
"1818","Used Fiat Tipo Sedan 1.6L Standard 2021","fiat",2021,"50,000 KM","Automatic","Petrol","Brown","1600",850000
"1819","Used Fiat Tipo Sedan 1.6L Standard 2020","fiat",2020,"35,600 KM","Automatic","Petrol","White","1600",640000
"1820","Used Fiat Tipo Hatchback 1.6L pop 2019","fiat",2019,"50,000 KM","Automatic","Petrol","Blue","1600",800000
"1821","Used Fiat Tipo Sedan 1.6L Standard 2021","fiat",2021,"29,000 KM","Automatic","Petrol","Black","1600",650000
"1822","Used Fiat Tipo Hatchback 1991","fiat",1991,"200,000 KM","Manual","Petrol","Green","1400",60000
"1823","Used Fiat Punto 1994","fiat",1994,"233,000 KM","Manual","Petrol","White","1300",80000
"1824","Used Fiat 124 Spider 1974","fiat",1974,"9,999 KM","Manual","Petrol","Green","1500",25000
"1825","Used Fiat Punto Evo 2013","fiat",2013,"190,000 KM","Automatic","Petrol","Black","1400",335000
"1826","Used Fiat Tipo Sedan 1.6L 2021","fiat",2021,"35,000 KM","Automatic","Petrol","White","1600",580000
"1827","Used Fiat Tipo Sedan 1.4L Highline 2022","fiat",2022,"40,000 KM","Automatic","Petrol","Gray","1600",570000
"1828","Used Fiat Tipo Sedan 1.4L Full Option 2020","fiat",2020,"70,000 KM","Manual","Petrol","Maroon","1400",350000
"1829","Used Fiat Fiorino 1.4L 2005","fiat",2005,"80,000 KM","Manual","Petrol","Other","1400",43000
"1830","New Toyota Hilux 2023","fiat",2023,"0 KM","Manual","Diesel","White","2400",995000
"1831","Used Fiat Tipo Hatchback 1.6L Full Option 2021","fiat",2021,"25,000 KM","Automatic","Petrol","Brown","1600",600000
"1832","Used Fiat Tipo Hatchback 1987","fiat",1987,"99,999 KM","Manual","Petrol","White","900",24000
"1833","Used Fiat 500 1999","fiat",1999,"200,000 KM","Manual","Petrol","Black","1500",58000
"1834","Used Fiat Qubo 1.4L Top 2017","fiat",2017,"110,000 KM","Manual","Petrol","Silver","1400",220000
"1835","Used Fiat Tipo Sedan 2021","fiat",2021,"40,000 KM","Manual","Petrol","Black","1400",370000
"1836","Used Fiat Punto 1.4L Standard 2008","fiat",2008,"540,000 KM","Manual","Petrol","Blue","1400",200000
"1837","Used Fiat Tipo Sedan 1.6L 2021","fiat",2021,"31,000 KM","Automatic","Petrol","Blue","1600",650000
"1838","Used Fiat Punto 1984","fiat",1984,"75,000 KM","Manual","Petrol","White","1300",27000
"1839","Used Fiat Punto 2009","fiat",2009,"178,000 KM","Manual","Petrol","Blue","1400",140000
"1840","Used Fiat Tipo Sedan 1.4L Full Option 2020","fiat",2020,"168,000 KM","Manual","Petrol","Maroon","1400",275000
"1841","Used Fiat Tipo Sedan 1.6L Standard 2006","fiat",2006,"99,999 KM","Manual","Petrol","White","1600",30000
"1842","Used Fiat Panda 1982","fiat",1982,"150,000 KM","Manual","Petrol","Red","1500",25000
"1843","New Toyota Hilux 2023","fiat",2023,"0 KM","Manual","Diesel","White","2400",995000
"1844","Used Fiat Ducato 2021","fiat",2021,"10,999 KM","Manual","Diesel","White","2299",850000
"1845","Used Fiat 124 Spider 2008","fiat",2008,"80,000 KM","Manual","Petrol","Black","N/A",65000
"1846","Used Fiat Tipo Sedan 1.4L Highline 2022","fiat",2022,"9,800 KM","Automatic","Petrol","Other","1600",649996
"1847","Used Fiat Tipo Sedan 1986","fiat",1986,"100,000 KM","Manual","Petrol","Gold","1100",20000
"1848","Used Fiat Punto 1998","fiat",1998,"177,000 KM","Manual","Petrol","White","1000",36000
"1849","Used Fiat Tipo Sedan 1997","fiat",1997,"100,000 KM","Manual","Petrol","Blue","1100",31000
"1850","Used Fiat 124 Spider 1998","fiat",1998,"100,000 KM","Manual","Petrol","Red","N/A",22000
"1851","Used Fiat Tipo Sedan 1.4L Full Option 2020","fiat",2020,"38,000 KM","Automatic","Petrol","Gray","1600",365000
"1852","Used Fiat Tipo Sedan 1.6L Full Option 2020","fiat",2020,"38,000 KM","Automatic","Petrol","Gray","1600",365000
"1853","Used Fiat 500 Abarth 1981","fiat",1981,"90,000 KM","Manual","N/A","Green","N/A",31000
"1854","Used Fiat Doblo 1.4L Standard 1986","fiat",1986,"20,000 KM","Manual","Petrol","White","1400",19000
"1855","Used Fiat Tipo Sedan 2020","fiat",2020,"37,000 KM","Automatic","Petrol","Blue","1600",370000
"1856","New Toyota Hilux 2023","fiat",2023,"0 KM","Manual","Diesel","White","2400",995000
"1857","Used Fiat Tipo Sedan 2020","fiat",2020,"37,000 KM","Automatic","Petrol","Blue","1600",370000
"1858","Used Fiat Tipo Sedan 1.6L Full Option 2021","fiat",2021,"50,000 KM","Automatic","Petrol","Brown","1600",380000
"1859","Used Abarth 124 Spider 1.4T (170 HP) 1972","fiat",1972,"2,000,000 KM","Manual","Petrol","White","1400",16000
"1860","Used Fiat 500 Abarth 1982","fiat",1982,"10,000 KM","Manual","N/A","Red","N/A",25000
"1861","Used Fiat Ducato 2018","fiat",2018,"150,000 KM","Automatic","Diesel","White","N/A",300000
"1862","Used Fiat Tipo Sedan 1.6L 2022","fiat",2022,"4,000 KM","Automatic","Petrol","Other","1600",420000
"1863","Used Fiat 124 Spider 1981","fiat",1981,"565,000 KM","Manual","Petrol","Other","1300",25000
"1864","Used Fiat Punto 2006","fiat",2006,"140,000 KM","Manual","Petrol","Gray","1000",45000
"1865","Used Fiat Panda 2001","fiat",2001,"137,000 KM","Manual","Petrol","Bronze","1400",65000
"1866","Used Fiat Punto 2017","fiat",2017,"87,000 KM","Automatic","Petrol","White","1400",135000
"1867","Used Fiat Punto 1.4L Standard 2009","fiat",2009,"119,000 KM","Manual","Petrol","Red","1300",85000
"1868","Used Fiat 124 Spider 1986","fiat",1986,"5,000 KM","Manual","Petrol","Red","1100",21000
"1869","New Toyota Hilux 2023","fiat",2023,"0 KM","Manual","Diesel","White","2400",995000
"1870","Used Fiat Tipo Sedan 1973","fiat",1973,"600,000 KM","Manual","N/A","White","N/A",12000
"1871","Used Fiat Punto 1.4L Top 2007","fiat",2007,"149,000 KM","Automatic","Petrol","Red","1400",110000
"1872","Used Fiat 500 Abarth 695 Tributo Ferrari 1994","fiat",1994,"99,000 KM","Manual","N/A","White","N/A",37000
"1873","Used Fiat Punto 2010","fiat",2010,"126,000 KM","Automatic","Petrol","Blue","1600",120000
"1874","Used Fiat Punto 2010","fiat",2010,"126,000 KM","Automatic","Petrol","Blue","1600",115000
"1875","Used Fiat 124 Spider 1983","fiat",1983,"200,000 KM","N/A","Petrol","White","1000",1375
"1876","Used Fiat 500 2003","fiat",2003,"150,000 KM","Manual","Petrol","Black","1400",34000
"1877","Used Fiat 500X 1.4T Full Option 1975","fiat",1975,"500 KM","Automatic","Petrol","Beige","1368",13000
"1878","Used Fiat Punto 1.3L Punto 1.3L 2012","fiat",2012,"138,000 KM","Manual","Petrol","Burgundy","1300",95000
"1879","Used Fiat Tipo Sedan 1.4L Highline 2020","fiat",2020,"27 KM","Automatic","Petrol","Purple","1600",265000
"1880","Used Fiat Tipo Sedan 1.4L Highline 2020","fiat",2020,"27 KM","Automatic","Petrol","Red","1400",270000
"1881","Used Fiat Punto 2007","fiat",2007,"240,000 KM","Automatic","Petrol","Silver","1300",70000
"1882","New Toyota Hilux 2023","fiat",2023,"0 KM","Manual","Diesel","White","2400",995000
"1883","Used Fiat Punto 2003","fiat",2003,"65,000 KM","Manual","Petrol","Silver","1300",75000
"1884","Used Fiat Punto 1.4L Top 2001","fiat",2001,"320,000 KM","Automatic","Petrol","Silver","1400",55000
"1885","Used Fiat 500X 1975","fiat",1975,"1,000,000 KM","Manual","Petrol","Gray","1600",25000
"1886","Used Fiat Punto 1995","fiat",1995,"23,000 KM","Manual","Petrol","Green","1500",42000
"1887","Used Fiat Bravo 1.4L Bravo 1.4L 2011","fiat",2011,"95,000 KM","Automatic","Petrol","Silver","1400",135000
"1888","Used Fiat Punto 1.4L Top 2019","fiat",2019,"54,999 KM","Automatic","Petrol","Gray","1400",195000
"1889","Used Fiat Tipo Sedan 2001","fiat",2001,"50,000 KM","Manual","Petrol","Green","1400",45000
"1890","Used Fiat 500 1.2L 1987","fiat",1987,"10 KM","Manual","Petrol","Blue","1200",17000
