"","car_name","brand","model","kilometers_driven","transmision","fuel","color","engine_capacity","Precio"
"847","Used Renault Megane 5 Door 1.6L Automatic 2001","renault",2001,"190,000 KM","Automatic","Petrol","Silver","1600",70000
"848","Used Renault Fluence 1.6L PE 2014","renault",2014,"66,000 KM","Automatic","Petrol","Gray","1600",200000
"849","New Renault Kadjar TCe 130 Top 2017","renault",2017,"16,000 KM","Automatic","Petrol","Brown","1200",380000
"850","Used Renault Sandero Stepway Top 2020","renault",2020,"3,066 KM","Automatic","Petrol","Brown","1600",235000
"851","New Toyota Hilux 2023","renault",2023,"0 KM","Manual","Diesel","White","2400",995000
"852","Used Renault Fluence 2015","renault",2015,"165,000 KM","Automatic","Petrol","White","1600",180000
"853","Used Renault Fluence 2014","renault",2014,"172,000 KM","Automatic","Petrol","Other","1600",190000
"854","Used Renault Logan 4 Door 1.6L Manual 2009","renault",2009,"283,000 KM","Manual","Petrol","Red","1600",72000
"855","Used Renault Logan Top 2016","renault",2016,"65 KM","Manual","Petrol","Black","1600",130000
"856","Used Renault Fluence 1.6L SE 2010","renault",2010,"95,000 KM","CVT","Petrol","Gold","1600",160000
"857","Used Renault Logan Mid 2017","renault",2017,"185,000 KM","Automatic","Petrol","Blue","1600",150000
"858","Used Renault Sandero Basic 2011","renault",2011,"115 KM","Manual","Petrol","Gray","1600",120000
"859","Used Renault Sandero Stepway 2015","renault",2015,"140,000 KM","Manual","Petrol","Black","1600",138000
"860","Used Renault Logan E2 M/T 2011","renault",2011,"270,000 KM","Manual","Petrol","Red","1600",90000
"861","Used Renault Megane 2008","renault",2008,"215,000 KM","Automatic","Petrol","Black","1600",120000
"862","Used Renault Logan Basic 2017","renault",2017,"180,000 KM","Automatic","Petrol","Silver","1600",140000
"863","Used Renault Logan Basic 2017","renault",2017,"180,000 KM","Automatic","Petrol","Silver","1600",140000
"864","New Toyota Hilux 2023","renault",2023,"0 KM","Manual","Diesel","White","2400",995000
"865","New Renault Logan E3 A/T 2020","renault",2020,"8,000 KM","Automatic","Petrol","Red","1600",195000
"866","Used Renault Sandero Stepway 2013","renault",2013,"80,000 KM","Manual","N/A","Gray","1600",130000
"867","Used Renault Fluence 1.6L PE 2014","renault",2014,"180,000 KM","CVT","Petrol","Gold","1600",185000
"868","Used Renault Logan SE 2014","renault",2014,"214,000 KM","Manual","Petrol","Red","1600",105000
"869","Used Renault Clio 2003","renault",2003,"140,000 KM","Manual","N/A","Other","N/A",75000
"870","Used Renault Fluence 1.6L PE 2016","renault",2016,"111,000 KM","Automatic","Petrol","Black","1600",185000
"871","Used Renault Sandero Stepway 1600 CC Manual 2012","renault",2012,"174,000 KM","Manual","N/A","Silver","1600",118000
"872","Used Renault Kadjar 1.2T Signature 2018","renault",2018,"49,000 KM","Automatic","Petrol","Gray","1200",340000
"873","Used Renault Megane 1.6L LE 2001","renault",2001,"170 KM","Automatic","Petrol","Gold","1598",70000
"874","Used Renault Captur 1997","renault",1997,"10,000 KM","Manual","Petrol","Red","1300",37000
"875","Used Renault Megane 5 Door 1.6L Automatic 2009","renault",2009,"133,000 KM","Automatic","Petrol","Gold","1600",120000
"876","Used Renault Fluence 1.6L LE 2015","renault",2015,"84 KM","Automatic","Petrol","Gray","1600",175000
"877","New Toyota Hilux 2023","renault",2023,"0 KM","Manual","Diesel","White","2400",995000
"878","Used Renault Captur 1.3T (130 HP) 2017","renault",2017,"78,000 KM","Automatic","Petrol","Orange","1300",245000
"879","Used Renault Logan 4 Door 1.6L Automatic 2017","renault",2017,"65,000 KM","Automatic","Petrol","Black","1600",1625
"880","Used Renault Megane 2016","renault",2016,"77,000 KM","CVT","Petrol","Black","1600",215000
"881","Used Renault Clio 2 Door 2.0L 2001","renault",2001,"172,500 KM","Manual","Petrol","Red","1400",525000
"882","Used Renault Laguna 2017","renault",2017,"66,000 KM","Automatic","Petrol","Blue","N/A",160000
"883","Used Renault Duster 2019","renault",2019,"50,000 KM","Automatic","Petrol","Blue","1600",265000
"884","Used Renault Clio 2001","renault",2001,"172,000 KM","Manual","Petrol","Red","1400",55000
"885","Used Renault Sandero Basic 2017","renault",2017,"102,000 KM","Automatic","Petrol","Red","1600",160000
"886","Used Renault Laguna 2016","renault",2016,"150,000 KM","Automatic","Petrol","Silver","1600",145000
"887","New Renault Sandero Basic 2018","renault",2018,"90,000 KM","Automatic","Petrol","Gray","1600",180000
"888","Used Renault Captur 1.2L LE 2017","renault",2017,"68,000 KM","Automatic","Petrol","Blue","1199",235000
"889","Used Renault Duster 2.0L PE (4x2) 2012","renault",2012,"140,000 KM","Manual","Petrol","Gold","1998",175000
"890","New Toyota Hilux 2023","renault",2023,"0 KM","Manual","Diesel","White","2400",995000
"891","Used Renault Clio 2003","renault",2003,"260,000 KM","Manual","Petrol","Green","1200",73000
