Variable1;Valor1;Variable2;Valor2;Variable3;Valor3;Variable4;Valor4;Variable5;Valor5;PERIODO;VALOR
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2013M01;102,966
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2012M12;104,298
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2012M11;104,225
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2012M10;104,355
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2012M09;103,475
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2012M08;102,467
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2012M07;101,893
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2012M06;102,132
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2012M05;102,323
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2012M04;102,474
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2012M03;101,055
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2012M02;100,380
