"","X","Grupo","Fecha","Destino","Tarifa.min","Duración","Cantidad"
"190",190,"Asesores","T","America",0.209,0,0
"191",191,"Asesores","T","America",0.239,0,0
"192",192,"Asesores","T","America",0.063,0,0
"193",193,"Asesores","T","America",0.026,0,0
"194",194,"Educacion","T","America",0.026,0,0
"195",195,"Educacion","T","America",0.026,3,0.1
"196",196,"Asesores","T","Europa",0.09,662,1.15
"197",197,"Asesores","T","Europa",0.09,13,0.16
"198",198,"Otros","T","America",0.158,0,0
"199",199,"Otros","T","America",0.007,0,0
"200",200,"Otros","T","America",0.026,52,0.1
"201",201,"Otros","T","America",0.142,43,0.21
"202",202,"Otros","T","America",0.142,6,0.21
"203",203,"Otros","T","America",0.007,0,0
"204",204,"Asesores","T","America",0.063,0,0
"205",205,"Otros","T","America",0.026,0,0
"206",206,"Otros","T","America",0.007,0,0
"207",207,"Asesores","T","America",0.026,30,0.1
"208",208,"","T","America",0.063,661,0.83
"209",209,"","T","America",0.026,0,0
"210",210,"Otros","T","America",0.144,7,0.21
"211",211,"Otros","T","America",0.026,1029,0.54
"212",212,"Asesores","T","America",0.026,0,0
"213",213,"Otros","T","America",0.026,248,0.2
"214",214,"Otros","T","America",0.026,0,0
"215",215,"Educacion","T","America",0.026,2,0.1
"216",216,"Educacion","T","America",0.126,171,0.45
"217",217,"Asesores","T","America",0.226,29,0.3
"218",218,"Asesores","T","America",0.226,15,0.3
"219",219,"Otros","T","America",0.026,58,0.1
"220",220,"Otros","T","America",0.026,0,0
"221",221,"Otros","T","America",0.007,0,0
"222",222,"Educacion","T","America",0.026,19,0.1
"223",223,"Asesores","T","America",0.226,0,0
"224",224,"","T","Europa",0.113,533,1.09
"225",225,"Educacion","T","America",0.026,0,0
"226",226,"Educacion","T","America",0.063,1,0
"227",227,"Otros","T","America",0.007,0,0
"228",228,"Educacion","T","America",0.063,76,0.2
"229",229,"Educacion","T","America",0.063,0,0
"230",230,"Educacion","T","America",0.063,39,0.13
"231",231,"Otros","T","America",0.021,0,0
"232",232,"Asesores","T","America",0.026,0,0
"233",233,"Otros","T","America",0.226,312,1.43
"234",234,"Educacion","T","Europa",0.09,6,0.16
"235",235,"Educacion","T","Europa",0.09,0,0
"236",236,"Educacion","T","Europa",0.021,0,0
"237",237,"Educacion","T","Europa",0.021,0,0
"238",238,"Otros","T","America",0.158,0,0
"239",239,"Educacion","T","Europa",0.09,14,0.16
"240",240,"Otros","T","America",0.026,0,0
"241",241,"Educacion","T","Europa",0.09,10,0.16
