id,Age,Citizenship,Status,Lifeboat,Adult.Minor,Sex,Survived,Pasajero,Class,Template
118,40,British,Married,No,Adult,Male,Lost,Crew,Engineering,(Pasajero (id 118)(sexo Male)(status Married)(adult Adult)(clase Engineering))
119,49,British,Single,No,Adult,Male,Lost,Crew,Engineering,(Pasajero (id 119)(sexo Male)(status Single)(adult Adult)(clase Engineering))
120,32,British,Married,No,Adult,Male,Lost,Crew,Engineering,(Pasajero (id 120)(sexo Male)(status Married)(adult Adult)(clase Engineering))
121,24,British,Married,No,Adult,Male,Lost,Crew,Engineering,(Pasajero (id 121)(sexo Male)(status Married)(adult Adult)(clase Engineering))
122,32,British,Married,No,Adult,Male,Saved,Crew,Engineering,(Pasajero (id 122)(sexo Male)(status Married)(adult Adult)(clase Engineering))
123,32,British,Married,No,Adult,Male,Saved,Crew,Engineering,(Pasajero (id 123)(sexo Male)(status Married)(adult Adult)(clase Engineering))
124,32,British,Married,No,Adult,Male,Saved,Crew,Engineering,(Pasajero (id 124)(sexo Male)(status Married)(adult Adult)(clase Engineering))
125,44,British,Married,No,Adult,Male,Lost,Crew,Engineering,(Pasajero (id 125)(sexo Male)(status Married)(adult Adult)(clase Engineering))
126,32,British,Otros,No,Adult,Male,Saved,Crew,Engineering,(Pasajero (id 126)(sexo Male)(status Otros)(adult Adult)(clase Engineering))
127,42,British,Married,No,Adult,Male,Lost,Crew,Engineering,(Pasajero (id 127)(sexo Male)(status Married)(adult Adult)(clase Engineering))
128,32,British,Single,No,Adult,Male,Saved,Crew,Engineering,(Pasajero (id 128)(sexo Male)(status Single)(adult Adult)(clase Engineering))
129,32,British,Married,No,Adult,Male,Lost,Crew,Engineering,(Pasajero (id 129)(sexo Male)(status Married)(adult Adult)(clase Engineering))
130,32,British,Married,No,Adult,Male,Saved,Crew,Engineering,(Pasajero (id 130)(sexo Male)(status Married)(adult Adult)(clase Engineering))
131,32,British,Married,No,Adult,Male,Saved,Crew,Engineering,(Pasajero (id 131)(sexo Male)(status Married)(adult Adult)(clase Engineering))
132,32,British,Married,No,Adult,Male,Lost,Crew,Engineering,(Pasajero (id 132)(sexo Male)(status Married)(adult Adult)(clase Engineering))
133,32,British,Otros,No,Adult,Male,Lost,Crew,Engineering,(Pasajero (id 133)(sexo Male)(status Otros)(adult Adult)(clase Engineering))
134,32,British,Single,No,Adult,Male,Saved,Crew,Engineering,(Pasajero (id 134)(sexo Male)(status Single)(adult Adult)(clase Engineering))
135,32,British,Married,No,Adult,Male,Lost,Crew,Engineering,(Pasajero (id 135)(sexo Male)(status Married)(adult Adult)(clase Engineering))
136,32,British,Married,No,Adult,Male,Saved,Crew,Engineering,(Pasajero (id 136)(sexo Male)(status Married)(adult Adult)(clase Engineering))
137,32,British,Married,No,Adult,Male,Lost,Crew,Engineering,(Pasajero (id 137)(sexo Male)(status Married)(adult Adult)(clase Engineering))
138,32,British,Otros,No,Adult,Male,Saved,Crew,Engineering,(Pasajero (id 138)(sexo Male)(status Otros)(adult Adult)(clase Engineering))
139,32,British,Single,No,Adult,Male,Lost,Crew,Engineering,(Pasajero (id 139)(sexo Male)(status Single)(adult Adult)(clase Engineering))
140,35,British,Single,No,Adult,Male,Lost,Crew,Engineering,(Pasajero (id 140)(sexo Male)(status Single)(adult Adult)(clase Engineering))
141,32,British,Single,No,Adult,Male,Saved,Crew,Engineering,(Pasajero (id 141)(sexo Male)(status Single)(adult Adult)(clase Engineering))
142,32,British,Married,No,Adult,Male,Lost,Crew,Engineering,(Pasajero (id 142)(sexo Male)(status Married)(adult Adult)(clase Engineering))
143,31,British,Otros,No,Adult,Male,Lost,Crew,Engineering,(Pasajero (id 143)(sexo Male)(status Otros)(adult Adult)(clase Engineering))
144,31,British,Single,No,Adult,Male,Lost,Crew,Engineering,(Pasajero (id 144)(sexo Male)(status Single)(adult Adult)(clase Engineering))
145,34,British,Single,No,Adult,Male,Saved,Crew,Engineering,(Pasajero (id 145)(sexo Male)(status Single)(adult Adult)(clase Engineering))
146,32,British,Single,No,Adult,Male,Saved,Crew,Engineering,(Pasajero (id 146)(sexo Male)(status Single)(adult Adult)(clase Engineering))
147,30,British,Married,No,Adult,Male,Saved,Crew,Engineering,(Pasajero (id 147)(sexo Male)(status Married)(adult Adult)(clase Engineering))
148,32,British,Married,No,Adult,Male,Lost,Crew,Engineering,(Pasajero (id 148)(sexo Male)(status Married)(adult Adult)(clase Engineering))
149,20,British,Single,No,Adult,Male,Saved,Crew,Engineering,(Pasajero (id 149)(sexo Male)(status Single)(adult Adult)(clase Engineering))
